269.58	3.685
269.6	3.685
269.58	3.685
269.59	3.685
269.61	3.684
269.6	3.684
269.6	3.685
269.62	3.685
269.63	3.685
269.6	3.685
269.63	3.685
269.61	3.685
269.62	3.685
269.64	3.685
269.61	3.685
269.62	3.684
269.62	3.684
269.62	3.684
269.63	3.685
269.61	3.685
269.62	3.685
269.62	3.685
269.62	3.685
269.6	3.685
269.64	3.685
269.63	3.685
269.62	3.685
269.62	3.685
269.63	3.685
269.65	3.685
269.63	3.685
269.63	3.685
269.63	3.685
269.62	3.685
269.66	3.685
269.64	3.685
269.64	3.684
269.64	3.685
269.65	3.685
269.64	3.685
269.67	3.685
269.64	3.685
269.65	3.685
269.67	3.685
269.67	3.685
269.67	3.685
269.65	3.685
269.67	3.685
269.65	3.685
269.67	3.685
269.67	3.685
269.67	3.685
269.68	3.686
269.66	3.685
269.67	3.686
269.67	3.686
269.66	3.686
269.65	3.686
269.66	3.686
269.69	3.686
269.67	3.685
269.66	3.685
269.66	3.686
269.65	3.685
269.64	3.685
269.66	3.685
269.66	3.686
269.67	3.685
269.65	3.686
269.65	3.685
269.66	3.686
269.65	3.686
269.68	3.685
269.65	3.685
269.67	3.685
269.67	3.685
269.66	3.686
269.65	3.685
269.67	3.685
269.68	3.686
269.66	3.685
269.67	3.686
269.67	3.686
269.68	3.685
269.67	3.685
269.68	3.685
269.71	3.686
269.68	3.685
269.72	3.686
269.7	3.685
269.7	3.686
269.7	3.686
269.73	3.686
269.72	3.686
269.7	3.686
269.71	3.686
269.72	3.686
269.73	3.686
269.72	3.686
269.72	3.686
269.69	3.686
269.71	3.686
269.73	3.686
269.74	3.686
269.74	3.686
269.72	3.686
269.72	3.686
269.75	3.686
269.74	3.686
269.73	3.686
269.73	3.686
269.75	3.686
269.74	3.686
269.74	3.686
269.75	3.686
269.74	3.686
269.75	3.686
269.74	3.686
269.75	3.686
269.76	3.686
269.74	3.686
269.75	3.686
269.75	3.686
269.74	3.686
269.75	3.686
269.77	3.686
269.75	3.686
269.77	3.686
269.74	3.686
269.74	3.686
269.74	3.686
269.76	3.686
269.79	3.686
269.75	3.686
269.74	3.686
269.75	3.686
269.75	3.686
269.76	3.686
269.75	3.686
269.76	3.686
269.78	3.686
269.77	3.686
269.76	3.686
269.78	3.686
269.78	3.686
269.76	3.686
269.76	3.686
269.77	3.686
269.75	3.687
269.75	3.687
269.76	3.687
269.76	3.687
269.78	3.687
269.79	3.687
269.76	3.687
269.77	3.687
269.77	3.687
269.79	3.687
269.8	3.687
269.79	3.687
269.77	3.687
269.79	3.687
269.78	3.687
269.78	3.687
269.8	3.687
269.78	3.687
269.79	3.687
269.8	3.687
269.79	3.687
